Article Title,Article Content,Date,Location,Author
Shortage of essential medicines in Parsa health posts affects services,"Public health institutions have been reeling under an acute shortage of medicines in Parsa district.Of late, patients suffering from seasonal flu and other water-borne diseases are on the rise. But service seekers complain that they are deprived of treatment at the health institutions.Lahawarthakari Health Post in Pakahamainpur Rural Municipality does not even have a rehydration solution to treat diarrhoea.“The rural municipality supplied just 100 packets of rehydration solution on June 4. How long can such a meagre supply last? We have a large number of patients seeking treatment for diarrhoea, especially during the rainy season,” said Bikash Shrestha, an auxiliary health worker at the health post.The government provides 39 essential medicines free of cost through health posts. But most health posts in Parsa are out of stock of essential medicines.“Most people who visit the health post are patients of diarrhoea, viral fever and skin and ear infections. But we don’t have enough medicines in our store to treat them. We have to endure the locals’ wrath for our inability to provide them medicines,” Shrestha said.Because of the shortage of medicine in the health facilities, the local people are forced to visit either bordering Indian towns or private clinics for treatment.“I had sustained injuries on my right elbow, and I went to Lahawarthakari Health Post for treatment, but the health workers sent me away without treating me because they didn’t have the necessary medicines,” said Jhola Sah of Lahawarthakari. He said he had to go to the neighbouring Indian town to receive treatment.The residents of the rural municipality in Parsa blame the local representatives of being inactive in arranging for health supplies at the local health posts.“It’s been two years since the elected representatives assumed office, but they have done nothing to reform the health sector. The local health post does not even have iron pills or cotton for dressing wounds,” said local Prithvi Chandra Prasad. “We have to go to Indian towns to treat minor wounds despite having a health post in our own locality.”Manish Singh, the health unit chief of Pakahamainpur Rural Municipality, admitted to the short supply of medicines in the district’s health posts. He, however, blames the health workers for their negligence in managing the demand and supply of medication at the health posts.“We have rehydration solutions and other medicines in our godown. We will immediately supply them to the health facilities if they ask us to,” Singh said.But it’s not only the health posts in villages that are in short supply of essential medicines—health posts in Birgunj Metropolitan City too are lacking essential medicines. There are 16 health posts in the metropolis. Among them, the health posts at Sugauli, Bhawanipur, Alau and Harpatgunj do not have essential medicines.“There is a shortage of medicines in some health posts. The problem will be resolved within a week,” said Arun Kumar Mahato, chief of health and social development office of Birgunj Metropolis.","Published at : September 10, 2019",Birgunj,Bhusan Yadav
"Mayor, deputy mayor blame each other for the death of a person killed in clash","The longstanding dispute between the mayor and deputy mayor of Hansapur Municipality in Dhanusha district has taken a nasty turn, with each side blaming the other for the death of a local man during a clash last month.Supporters of Mayor Ramagyan Mandal and Deputy Mayor Renu Kumari Jha lodged complaints against each other at the District Police Office in Dhanusha in the Tapeshwor Mandal death row.Tapeshwor, a permanent resident of Hansapur-2, had sustained critical injuries in a clash at Baghachauda Bazaar on August 6. He succumbed to injuries during treatment at Janakpur Zonal Hospital on September 4.The violent clash ensued between the supporters of Mayor Mandal and Deputy Mayor Jha over the issue of the administrative centre of the municipality. Jha is in favour of retaining the centre at Baghachauda Bazaar, while Mandal wanted to shift the centre to Hanspur Chowk. Both of them were elected from the Rastriya Janata Party-Nepal.On Sunday, Manoj Kumar Singh, Shashi Kapar, and Sadaiya Alam filed a police complaint claiming that Deputy Mayor Jha, ward chairman of Hansapur-2 Udaya Sah and Kishori Yadav were involved in Tapeshwor’s murder.Raj Kumar Mandal, the deceased’s son, on Thursday lodged a complaint at the district police claiming that Mayor Mandal, ward chief of Hansapur-3 Udaya Kumar Singh, Shyam Raut and Lalbabu Yadav had murdered him. Raj Kumar is a supporter of the deputy chief.Bharat Sahani of Baghachauda Bazaar filed a writ petition at the Janakpur High Court last month after Mayor Mandal attempted to shift the administrative centre to Hansapur Chowk from Baghachauda Bazaar. The court gave its verdict, directing the municipal authority not to shift the centre at the time and follow the due process to shift the centre if necessary.Asked why he ignored the court’s verdict, Mayor Mandal claimed that he did not attempt to shift the administrative centre. “I just set up a temporary office in Hansapur Chowk to perform the work efficiently,” he said.Deputy Superintendent of Police Rameshwor Karki said an investigation is underway.","Published at : September 9, 2019",Janakpur,Shyam Sundar Shashi
A teenage girl was attacked with acid after her father told a man to stop pursuing her,"A 15-year-old girl was severely injured in an acid attack at Ganeshman Chowk in Birgunj at about 6am on Friday.Muskan Khatun from Chhapakaiya in Birgunj was attacked with acid by 16-year-old Samsad Miya in order to exact revenge after Khatun rebuffed his friend Majid Alam’s romantic overtures, according to police.Khatun, a ninth grader at Tribhuvan Hanuman Secondary School, was assaulted on her way to school. [Read: Meet the acid attack survivor who challenged Nepal's laws to help others like her]According to DSP Ananta Ram Sharma, spokesperson for the Parsa Police, Alam was infatuated with Khatun and had expressed his feelings for her, but was turned down. Khatun had then told her father, who met with Alam and asked him not to pursue her. Seventeen-year-old Alam is Khatun’s relative and lives in the same ward as her. “Alam was furious after his proposal was rejected,” said Sharma. “The incident seems to have been an act of revenge.” Miya was acting on Alam’s request, he said. Khatun, who suffered burns on her face, chest and hands, was admitted to the Narayani Hospital but has since been transferred to Kathmandu for further treatment, according to Sharma.“The plan to throw acid was made on Thursday night,” said Sharma. Alam and Miya had observed the Ganesh Chaturthi pooja at Chapakaiya till 1am, after which they went to a hair salon in Ganeshman Chowk, where Miya worked part-time. The two spent the night there.During a late-night conversation, Alam had asked Miya to first ask Khatun why she had stopped speaking to him.“If she doesn’t reply then throw acid on her body,” Alam reportedly told Miya, according to police.Early the next morning, the two went to a tea shop in Malpot Chowk and waited on Khatun. Miya then did what his friend had asked him to do. He went up to Khatun and asked her why she hadn’t been speaking to Alam. Khatun replied that she was getting late for school and had no reason to speak to Alam. As she tried to make her way to school, Miya threw acid on her body. Other school students then took the injured Khatun to Narayani Hospital on a rickshaw.Miya was arrested two hours later from Chhapakaiya but police are still looking for Alam, said Sharma. Instances of jilted lovers attacking women with acid have been a worrying feature in the news. In May, 20-year-old Jenny Khadka was attacked similarly by her ex-husband at Kalopul in the Capital. According to the Nepal Police, eight similar acid attack incidents were reported across the country in the past four years—three in the fiscal year 2014-15, two in 2015-16, one in 2016-17, and two in 2017-18. In the last fiscal year alone, four such attacks, including Khadka’s, have been reported from across the country.Lalbabu Raut, chief minister of Province 2, has announced that the provincial government will provide Rs500,000 for Khatun’s treatment. But the incident has shocked Birgunj locals. Amar Bahadur Gautam, chair of the Association of Guardians, condemned the attack. “The crime perpetrated upon an innocent teenager has troubled us deeply,” said Gautam. “We are worried about where our society is headed.”","Published at : September 7, 2019",Parsa,Bhusan Yadav						 &
Local units in Dhanusha perform poorly as they fail to exercise their powers,"Service seekers across all local units in Dhanusa have the same complaint: the local bodies have failed to execute their powers and authorities granted by the new constitution of the country.The constitution promulgated in 2015 has delegated 22 different powers and authorities to the local unit. Authorities have been given the power to execute works regarding health, education, agriculture, livestock, social security, development activities, among others.But the locals have seen little progress in any of the sectors mentioned above since the local representatives came to office. “We had hoped that they (people’s representatives) would work effectively and efficiently for the people by exercising their powers and authorities. But the local bodies have failed to live up to our expectations,” said Bishnu Kanta Mishra, a local of Aurahi in Dhanusha. “The local units are good only at collecting tax and carrying out infrastructure development activities. They have so far ignored health, education and agriculture sectors,” he said.Most of the local bodies have been criticised for their failure to allocate budget to community schools for scholarships, midday meals and textbooks, despite the new academic session starting four months ago. Hansapur Municipality in Dhanusha has a notorious record when it comes to budget implementation—last fiscal year Rs 9.4 million was allocated for the midday meal programme for around 5,600 students of 30 community schools, but the entire budget was frozen.The health sector also showed poor results in the municipality. The local bodies could not hire health officials, procure medicines and other necessary equipment, or even provide salaries to the health workers. According to the health workers of Sahidnagar Municipality, they have not received their salaries for the past five months.Mayor Udaya Kumar Yadav said the health workers’ salaries could not be provided as the budget issued under the heading was insufficient. He said, “We will clear the health workers’ salaries within a month.”There are 58 health workers working at nine different health facilities in the municipality.Phulgen Mandal, in-charge of Paterwa Health Post in Sahidnagar, said that the budget meant to appoint auxiliary health workers and auxiliary nurse midwives has remained frozen in the last two fiscal years. “There is a shortage of health officials but the municipality has not hired auxiliary health workers and auxiliary nurse midwife for the past two years,” said Mandal, admitting that the health post could not provide quality service to the people due to the lack of health employees.The locals claim that the people’s representatives prioritised only infrastructure development ignoring other important sectors. “They do not give due importance to the health and education sectors. As a result, the locals are deprived of health and education facilities,” said Sanjaya Kumar Jha of Janakpurdham.The lack of will power and knowledge about their jurisdiction among the elected representatives, process-oriented administration and corruption are the major hurdles behind the ineffective service delivery in the local bodies, believe locals.“The elected representatives should be provided training regarding the jurisdiction of the local body. The concerned political parties have to provide training to the representatives elected from their parties. But nobody does that,” said Ramchandra Jha, former local development minister and culture expert. “The local units that were without elected representatives for 20 years have now suddenly got more rights but they don’t know how to exercise those rights,” he said.","Published at : September 6, 2019",Janakpur,Shyam Sundar Shashi
869 houses handed over to windstorm victims of Bara,"The Nepal Army has completed the construction of 869 houses for the windstorm victims of Bara district and handed them over to the local authority.Twenty-eight people were killed, while hundreds of houses were blown away by the catastrophic storm in Bara and Parsa districts on March 31.The federal government had tasked the Army with the responsibility for the construction of houses for the windstorm victims of Pheta, Subarna, Parwanipur, Prasauni, Pachrauta, Mahagadhimai and Kalaiya local units in Bara district. The government allocated Rs 846.87 million to the Army for the construction of 1,453 houses in Bara and Parsa districts.The acting Prime Minister and Defence Minister Ishwar Pokharel handed the detailed documents of the reconstructed houses to Chief Minister of Province 2 Mohammad Lalbabu Raut amidst a function organised in Birgunj on Wednesday. The documents of the newly built houses were then given to chiefs of the respective local bodies. “We now finally have houses. It’s such a relief,” said Haidar Ali of Purainiya in Pheta Rural Municipality. The government allocated a budget to construct 1,453 houses initially but later verified that only 881 houses needed reconstruction. Construction of 12 houses is on hold due to technical issues, according to Army officials.","Published at : September 5, 2019",Bara,Laxmi Sah
Lahan locals call for relocation of waste management centre,"Residents of Ward No 4 in Lahan Municipality, Siraha, have been demanding the waste management centre be relocated from their locality or the garbage be managed scientifically.The agitating locals, who have been voicing their concerns for the past five months, held a gathering on Sunday to plan a fresh protest programme. They warned of stringent protests if the authorities did not heed to their demands.The locals filed a writ petition at the High Court in Janakpur two weeks ago against the municipality’s act of haphazardly disposing of waste. The Rajbiraj bench of the court has scheduled a hearing in the case for Monday.“We are not against using the area as a waste management centre. But the municipality should manage the waste in a scientific way and control pollution. The case is sub-judice in court. The locals will respect the court’s ruling,” said Jitendra Prakash Mahato, a leader of the struggle committee. He said the municipality ignored the agreement on the use of the area as a waste disposal centre.The locals staged demonstrations on Saturday to protest ‘highhandedness’ of people’s representatives, the municipal employees and police. They took out a protest rally that moved around town and later converged into a corner meeting.The protesting locals claimed that the city mayor and other elected representatives suppressed their peaceful agitation by using security personnel and disposed waste forcefully in the centre on Friday.“The authorities misbehaved with the local women, while the latter were protesting against the municipality’s move to manage waste there,” claimed Mahato.The municipality had been using Ward No. 4 as a dumping ground for the past five years. Stating that the unmanaged garbage disposal at the centre pollutes the settlement, the ward residents have been obstructing the municipality from using the area as garbage disposal centre.The municipality collects around 30 tonnes of waste each day. The local body said it spent around Rs10 million annually on the collection and management of waste.An all-party meeting, with the participation of the local people, had decided to use 12 bighas of land on the bank of the Khutti stream in the ward as a waste management centre around five years ago.Through their protest, the locals urged the municipality to immediately resolve the garbage disposal issue as haphazard dumping of waste has put the settlement at high risk of diseases.But Mayor Munni Sah, calling the protest unnecessary, said: “The local body had been using the area for waste disposal with the permission of the locals. Some of the locals unnecessarily politicised the issue,” he added.Sah, however, admitted that the municipality had not adopted ways to scientifically manage the waste. The municipality had formed a seven-member committee two months ago to find an alternative to the current dumping site. But the committee failed to find any headway.","Published at : September 2, 2019",Siraha,Bharat Jargha Magar
Gajendra Narayan Singh Hospital in Rajbiraj being upgraded to a fully-facilitated one,"The Gajendra Narayan Singh Hospital in Rajbiraj is now being upgraded into a fully-facilitated hospital.In the last two months, the hospital— once termed as a ‘refer centre' for its ability to offer only limited health services— has started extending various services including specialist health care to patients. The hospital has filled all nine quotas for medical specialists, enabling it to cater to more patients, according to Dr Chumanlal Das, medical superintendent at the hospital.In the past, health services at the hospital were badly affected due to poor infrastructure and a lack of health workers and facilities. With the upgrade, the hospital now provides specialist services on medicine, surgery, pediatric, anaesthesia, ENT (Ear Nose Throat), orthopaedic, radiology and dentistry. Patients from Saptari until a few months ago had to travel to Biratnagar or Dharan-based hospitals to seek medical attention from specialists.The hospital plans to start an Intensive Care Unit, a dialysis centre and provide CT scan services, said Das. “The flow of patients has increased after the hospital started providing specialist services. People from Saptari now don’t have to travel outside the district to seek treatment,” Das said. The 125-bed hospital receives around 200 to 250 patients in the outpatient department daily, according to Das. The health facility, formerly known as Sagarmatha Zonal Hospital, was renamed as Gajendra Narayan Singh Sagarmatha Zonal Hospital seven years ago. In the running fiscal year, the Ministry of Health and Population has allocated a budget of Rs 760 million for the hospital’s upgradation.","Published at : September 1, 2019",Rajbiraj,Abadhesh Kumar Jha
"Police rough up a Madhesi man yet again. This time, it’s on video","At a time when the Nepal Police is promoting its ‘Police, my friend’ campaign, a video of several police personnel manhandling a Madhesi man has prompted outrage on social platforms, as Nepalis criticise the heavy-handedness of the police while dealing with the public, especially Madhesis and Tharus in the southern plains.According to Ghanashyam Mishra, a journalist who filmed the video, the police roughed up Sushil Karna, a social campaigner, after summoning him to the Janaki police station at the Janaki Temple in Janakpur. Karna had previously confronted police personnel for beating a coconut vendor while clearing the temple premises. Police had then asked him to present himself at the police station, said Mishra. “Karna then called some of his friends, including me and Rastriya Janata Party spokesperson Krishna Singh, fearing the police might do something wrong,” Mishra told the Post in a phone interview on Friday. When Mishra arrived at the police station, police personnel and Karna were in the midst of a heated discussion, when all of a sudden an officer slapped Karna. The situation quickly escalated and Mishra began to record the video.In the video, a group of police personnel can be seen pushing and pulling on Karna, while his friends attempt to shield him from the police.Mishra and Singh called Superintendent of Police Shekhar Khanal and Chief District Officer Pradip Raj Kandel, prompting the police to recall the officer, Tourist Police Assistant Sub-Inspector Birendra Yadav, to the district police office.Yadav was asked to apologise to Karna. The incident is just one instance of police highhandedness in the Tarai, which has been criticised time and again by human rights organisations. According to a recent study carried out in various prisons across the country, detainees from ethnic communities in the Tarai reported undergoing more torture and misbehaviour at the hands of the police.In July, a Madhesi man was shot dead by the police in a protest in Sarlahi, marking one more instance of police quickly resorting to live ammunition when dealing with unrest in the Tarai.In August last year, Ram Manohar Yadav was arrested from Gulariya, in Bardiya, for displaying black flags in protest against Deputy Prime Minister Upendra Yadav. Ten days later, Yadav’s family was told that he had died in police custody. While police maintained that Yadav had pre-existing health conditions that led to his death, his family, friends and rights activists blamed mistreatment in prison. Yadav’s wife Sunita has alleged that her husband was tortured to death. The autopsy report was never made public.These instances have led to a mass outpouring of criticism against the police, prompting the authorities to provide assurances of better behaviour. Karna’s treatment, however, does not show much improvement in the police’s behaviour, a fact that was pointed out by many on social media.“What’s happening (here) Nepal Police?” one Twitter user wrote. “People are losing faith in you. Why is the police becoming so corrupt? Isn’t it the duty of the police to protect the people? Isn’t it a crime to manhandle a person after calling them to the police station? We have to fear the police when one must feel a sense of security! It’s time the police are aware.”Vijay Kant Karn, a political analyst, blames the current government and its disregard for the human rights of citizens for the police’s behaviour.“This incident is just one of many that occur every day in the Madhes,” he said. “The police in the Madhes act like occupation forces and in most instances, treat the general people as subjects, not citizens.”That this incident involved a tourist police does not bode well for Visit Nepal 2020 either, said Manish Jha, the national tourism campaign’s coordinator for Province 2.“If unchecked, incidents like these will discourage tourists from coming to the province, especially to the Janaki Temple, which is one of the major attractions for tourists from various nations,” said Jha.The outrage over Karna’s treatment has prompted the Dhanusha District Police Office to issue a press statement, saying departmental action will be taken against any police personnel found guilty in the altercation.According to Chandra Kishore, a journalist, police’s activities in the Madhes has always been of an oppressive nature.“There are a lot of incidents like this one that occurs in the Madhes, but this one is different because there is video evidence of police brutality,” said Kishore. “As Karna had visual evidence of their wrongdoing, the police became agitated and tried to harass him in the hopes of inducing fear.”","Published at : August 30, 2019",Kathmandu,Samuel Chhetri
Local unit constructing its office building without meeting due legal process,"An individual can construct a house or any other structures only after the local unit approves its design. However, a rural municipality in Sarlahi district has been constructing its office building without meeting the due legal process.Chakraghatta Rural Municipality in the southern part of the district has been constructing its two-storey office building near the Dhangra stream without getting the design approved by a technician as required by law. The locals complained that the public building was being constructed carelessly without meeting the building code. “The rural municipality office building is being constructed on the bank of the Dhangra stream, a flood-prone area. The building neither has adhered to building design nor is it earthquake-resilient,” said Ramji Sah, a local resident. According to him, the villagers repeatedly requested the local unit not to construct its office building in the flood-prone area, but the latter paid no heed.Chakraghatta Rural Municipality started construction of the office at the cost of Rs6.5 million by forming a consumers’ committee. The local people claimed the foundation of the under-construction building is also very shaky. “The building is being constructed on a weak foundation. It can collapse anytime,” said Jawahar Prasad Chaudhary, demanding a halt to construction until the due process is followed.Basoda Devi, the deputy chief of the local body, added that the office building was being constructed against the decision of rural municipality’s meeting. She claimed the meeting held two years earlier decided to construct a building in a different location. “The decisions of the meeting are not implemented. I have been sidelined as I urged to move forward by following the existing legal provisions,” said the deputy chief, asserting that the chief of the local body constructed the building violating the legal procedure. Bikram Yadav, chief of the rural municipality, admitted to constructing the office building without adhering to the design rules as required. “House and building construction standards have not been prepared yet. So we started the construction without approval,” said Yadav.","Published at : August 30, 2019",Sarlahi,Om Prakash Thakur
Province 2 government launches ‘green drive’ to prevent natural disasters,"With the objective to expand forest area from existing four percent to 40 percent, the Province 2 government has initiated a ‘green campaign’ in all eight districts of the province.Provincial Ministry of Industry, Forest, Environment and Tourism launched the campaign by mobilising the division forest office in each district to organise a plantation drive. The drive formally commenced with plantation programmes from Sagarnath Forest Development Project of Sarlahi district on Saturday. Chief Minister Mohammad Lalbabu Raut attended the function.“Province 2 is quite vulnerable to various natural disasters like floods, drought, storms and cold waves. Therefore, trees are important to maintain an ecological balance and control natural calamities,” said Suresh Mandal, the State Minister for Industry, Forest, Environment and Tourism. “Province 2 has high population density, the second highest after Province 3, but forest cover is meagre. The green campaign aims to change that,” he added.Province 2 is home to 5.4 million people according to the national census, 2011. According to the ministry, samplings of various tree species were planted in around 155 hectares of land on the first day of the plantation drive. The tree plantation programme will continue till September 6.According to Mandal, saplings of tik, sal, masala, sakhuwa, magahi, etc, have been planted in around 20 hectares of land in Sagarnath Forest Development Project, a disputed forest area which is claimed by both the federal and provincial governments. The provincial government challenged the central government’s move to merge the forest project with the Timber Corporation of Nepal at the Supreme Court in August first week.The provincial government aims to plant 350,000 saplings in various districts of the province this year. Ministry of Industry, Forest, Environment and Tourism said that it would clear the encroached forest areas and plant trees.","Published at : August 27, 2019",Janakpur,Ajit Tiwari
Cases of irregularities in driver’s license distribution in Birgunj on the rise,"A team from the Parsa District Police Office on Tuesday nabbed four individuals from a driving trial centre at Prasaunibirta in Birgunj. They were nabbed for illicitly demanding money from people sitting for driving tests, promising to facilitate them in obtaining a driver’s license even if they fail the exams, according to DSP Ananta Ram Sharma.Among the nabbed were Rajkumar Sah and Amlesh Prasad Sah from Bindabasini Rural Municipality; Satarohan Sah from Prasauni Rural Municipality; and Samarthan Neuapane from Hetauda Sub-metropolis.The police also confiscated Rs 92,000 and some documents from the detainees. A trial was underway at the centre the day they were arrested. On April 26, a team from the Commission for the Investigation of Abuse of Authority arrested two middlemen from the Office of Transportation Driving License Certificate with bribe money. The duo, Roshan Rauniyar and Sunil Yadav, had promised its clients that they would “arrange” driving license for them at Rs 31,000 each. The anti-graft body also charged Badri Dahal of the License bureau for his involvement in the irregularity.Though the office had adopted strict measures after these incidents, cases of irregularities have far from declined, with middlemen active once again. According to sources from the office, two among the four middlemen who were nabbed on Tuesday have ‘good relations’ with officials at the license department. The middlemen were nabbed with the certificates of 17 individuals who were attending the trial. Those 17 people had failed the written exams, according to the source.The in-charge of the trial centre Bhola Sah admitted that there are irregularities in license distribution, but denied that the centre had any connection with those middlemen. “We are aware that the number of middlemen is on the rise, but we don’t have any connection with them,” Sah said.However, Sushil Kumar Sah, recently appointed chief of the Transportation Management Office’s driving license department, said he is unaware of the irregularities. “I am investigating it,” said Sah. “If there are irregularities, they will be contained.”","Published at : August 24, 2019",Birgunj,Bhusan Yadav
"Farmers in Tirahut, Saptari worry after paddy fields dried up","The once green rice fields are now covered with wilted crops, says Rajendra Yadav, a farmer from Tirahut Rural Municipality in Saptari district.“We didn’t get enough rain this season. I lost all paddy saplings due to a shortage of water,” Yadav said.Farmers in Tirahut depend on monsoon rains or underground water for paddy plantation since there is no irrigation facility. To mitigate the farmers’ woes, the rural municipal office purchased deep boring machines for Rs 13 million in the fiscal year 2017-18 and 2018-19. However, they have been of little help to the farmers.Manoj Kumar Yadav, chairman of Tirahut Ward No 4, said that the boring machines were yet to be distributed.“We were told that the municipal office had purchased deep boring machines at Rs 13 million to irrigate the fields. The office hasn’t distributed them yet,” he said.The boring machines have been kept at local police posts for safekeeping.“The machines have been stored at two police posts in Lohajara and Trikol. The municipal office plans to put them to use this fiscal year,” said Hemanta Kumar Baharkher, chairman of the rural municipality.Meanwhile, paddy fields in the rural municipality have started developing cracks due to insufficient rainfall.“The crops are also being blighted by diseases,” said Manoj Kumar.According to the records kept by the district office, there are around 70,000 hectares of cultivable land in Saptari, and nearly 60 per cent of the area depends on rainwater for farming. Bhogananda Mahatman, chairman of Tirahut Ward No 3, said that he received 20 deep boring machines from the municipal office only a week ago.“We have been unable to distribute the machines because they cannot fulfil the needs of all farmers. We will begin distributing the machines after we get more machines,” said Mahatman.There’s no exact data on how many boring machines the office of Tirahut Rural Municipality has purchased so far. Both the chief administrative officer and the accountant of the office were unavailable when the Post tried to contact them for comments.Baharkher said that he would direct the respective ward chairmen to take stock of the situation and distribute boring machines on a priority basis.“Our fields are drying up and the machines lie unused. The local government has invested a lot of money to procure those machines. They should be used,” said Bhuneshwor Yadav, a local farmer.","Published at : August 23, 2019",Rajbiraj,Abadhesh Kumar Jha
Army opens fire to drive elephants away in Parsa,"The Nepal Army on Tuesday night fired 50 rounds of warning shots into the air to drive away a herd of elephants in the Pathalaiya-Amlekhgunj road stretch. The army from the Siddhibox Battalion opened fire after the herd tried to turn over a truck transporting rice from Hetauda to Pathalaiya. The elephants, which had escaped from the Parsa National Park, tried to steal rice from the truck, said Ashok Ram, information officer at the park. The incident obstructed the highway for a couple of hours. The elephants later returned to their habitat in the park.The herd included 27 pachyderms. One army personnel sustained an injury while driving the elephants away. Meanwhile, two elephants that have been spreading terror in Sarlahi for the last six months have moved to the Halkhoriya area in Parsa National Park. This phenomenon of elephants travelling to the highway, however, is not new. This year, the elephants took longer to show up along the highway, according to Ram. Usually, the elephants travel across the roads to Sarlahi in mid-June.The movement of the elephants this year was interrupted by the ongoing Motihari-Raxaul-Amlekhgunj oil pipeline construction, Ram said. Likewise, the Nijgadh-Kathmandu fast track is also under construction near the elephants’ habitat.","Published at : August 22, 2019",Parsa,Shankar Acharya
Illegal extraction from Mahottari riverbeds continues,"Even though the government imposed a three-month ban on the excavation of sand and stones from the rivers in Mahottari effective for three months until mid-August, the extraction of resources has not stopped.The illegal business is most apparent in the Khayermara and Madaha rivers, in wards 10 and 11 of Bardibas Municipality, where hundreds of tractors of river resources are being smuggled daily.The excavation has only increased, despite the government ban, locals say, accusing the local units and representatives of inaction in the face of illegal excavation that has put the whole village of Khayermar at risk.The ban on the excavation of aggregate and boulders from the Highway up to the Chure area came in line with the provisions of the President Chure Conservation Act. The ban, however, is clearly not being followed: it’s a common site that dozens of tractors are lined up along the river banks, loaded with sand and boulders.“A single person owns as many as four tractors and one tractor can make seven round-trips,” said a labourer who loads the tractor on condition of anonymity. “All of the dozens of tractors are owned by seven to eight contractors.”The two prominent rivers—Khayermara and Madaha—that cut through the district inflicted heavy damage this monsoon, deluging the villages and forests. Locals say the illegal mining would only exacerbate the damage. Local units and stakeholders have remained suspiciously mum about the illegal activity.Locals accuse the representatives and members of local units of being involved in the unlawful activity.One tractor owner the Post talked to at Madaha River claimed that he was encouraged by a local people’s representative to mine the river.Assistant Sub-inspector Shambhu Prasad Sah, who is in charge of the Khayermara Police Post, echoed the tractor owner. “We have tried to stop illegal mining several times,” said Sah. “We tried to take the tractors under control, but the owners said the mining was for private use, as recommended by the ward chairs.”Dhanlal Shrestha, the ward 10 chairman, admitted to having suggested that needy residents could earn through the mining of river resources.“The locals pleaded that they needed to extract some sand and boulders from the river to build houses and fill the embankments,” Shrestha said. “We recommended that they extract but only the essential quantity.”Ward-11 chief Dhan Raj Lama, however, denied that his office had given the permission to extract sand. Instead, Lama alleged that the police had done nothing to control the illegal activity. “Police have paid no attention to the illicit activities,” Lama said.Lama contradicted himself when he said, “We did grant the permission to a certain few people who said they needed sand and pebbles to save their house. But only what is needed. It should be inspected whether they have taken away more than what was necessary.”Mayor of Bardibas Municipality Bidur Kumar Karki said he was unaware of all that is happening at the two rivers. “The ward cannot recommend the illegal activity, despite what people ask for,” Karki said. “We will supervise and take action immediately in coordination with the District Coordination Committee.”Suresh Prasad Singh, the Coordination Committee chairman, said the committee had not received any information even as the illegal operations had continued for weeks. “No local unit informed us about the breach of law,” Singh said. “We will inspect the sites and take immediate action.”","Published at : August 18, 2019",Mahottari,Sunita Baral
Wild elephants wreak havoc in Sarlahi again,"Wild elephants have been wreaking havoc in Hariwon and Lalbandi areas of Sarlahi district for the past couple of days. The tuskers pulled down houses and destroyed crops.The residents of Hariwon, Lalbandi and Ishworpur municipalities have been living in constant fear since the jumbos first entered the settlements and wreaked havoc in December last year. Though there was a break in tusker menace for the past two months, the jumbos again started terrorising the locals from Friday. Two wild elephants entered the Ganesh Chowk area of Hariwon-4 on Friday night and destroyed four houses. The houses belonging to Gopi Pandit, Mustakhim Lahari, Phiroj Mikarani and Khursed Ansari were destroyed in elephants’ attack, said police.There were no casualties as local residents managed to flee on time. The tuskers dismantled the wooden houses and ate as well as destroyed the food grains stored there.The elephants tore down a house at Nawalpur of Lalbandi-1 on Friday morning. The house belonging to Ramchandra Mahato was destroyed by the tuskers. According to the locals, the elephants devoured paddy, wheat and other food grains stored in the house.According to local residents, the elephants stay in the forests nearby during the day and enter the settlements usually at night. The victims complained that the authorities concerned paid no heed even though they have faced elephant attacks for months. Conservationists tranquilised one of the marauding elephants a few weeks ago and installed a radio collar in their bid to track the beast. That elephant was found dead in Laxminiya forest of Mahottari district a few days ago.“We human beings have encroached on the habitat of elephants and planted crops. The tuskers sometimes enter human settlements in search of food,” said Madhav Prasad Dev, chief of the Division Forest Office in Sarlahi. According to him, the forest officials and security personnel cannot control the elephants. “We can just chase the elephants away from the settlements. Police personnel and forest officials drove away the elephants on Friday night,” said Dev.","Published at : August 17, 2019",Sarlahi,Om Prakash Thakur
